iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
KOR,Asia,South Korea,2020-01-22,1.0,,,,,,0.019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,51305184.0,527.967,43.4,13.914,8.622,35938.374,0.2,85.998,6.8,6.2,40.9,,12.27,83.03,0.916,,,,
KOR,Asia,South Korea,2020-01-23,1.0,0.0,,,,,0.019,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,51305184.0,527.967,43.4,13.914,8.622,35938.374,0.2,85.998,6.8,6.2,40.9,,12.27,83.03,0.916,,,,
KOR,Asia,South Korea,2020-01-24,2.0,1.0,,,,,0.039,0.019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,51305184.0,527.967,43.4,13.914,8.622,35938.374,0.2,85.998,6.8,6.2,40.9,,12.27,83.03,0.916,,,,
KOR,Asia,South Korea,2020-01-25,2.0,0.0,,,,,0.039,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,51305184.0,527.967,43.4,13.914,8.622,35938.374,0.2,85.998,6.8,6.2,40.9,,12.27,83.03,0.916,,,,
KOR,Asia,South Korea,2020-01-26,3.0,1.0,,,,,0.058,0.019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,51305184.0,527.967,43.4,13.914,8.622,35938.374,0.2,85.998,6.8,6.2,40.9,,12.27,83.03,0.916,43.4,0.17,2.47,0.845918416
KOR,Asia,South Korea,2020-01-27,4.0,1.0,,,,,0.078,0.019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,51305184.0,527.967,43.4,13.914,8.622,35938.374,0.2,85.998,6.8,6.2,40.9,,12.27,83.03,0.916,,,,
KOR,Asia,South Korea,2020-01-28,4.0,0.0,0.429,,,,0.078,0.0,0.008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,51305184.0,527.967,43.4,13.914,8.622,35938.374,0.2,85.998,6.8,6.2,40.9,,12.27,83.03,0.916,,,,
KOR,Asia,South Korea,2020-01-29,4.0,0.0,0.429,,,,0.078,0.0,0.008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,51305184.0,527.967,43.4,13.914,8.622,35938.374,0.2,85.998,6.8,6.2,40.9,,12.27,83.03,0.916,,,,
KOR,Asia,South Korea,2020-01-30,4.0,0.0,0.429,,,,0.078,0.0,0.008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,51305184.0,527.967,43.4,13.914,8.622,35938.374,0.2,85.998,6.8,6.2,40.9,,12.27,83.03,0.916,,,,
KOR,Asia,South Korea,2020-01-31,11.0,7.0,1.286,,,,0.214,0.136,0.025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.78,51305184.0,527.967,43.4,13.914,8.622,35938.374,0.2,85.998,6.8,6.2,40.9,,12.27,83.03,0.916,,,,
KOR,Asia,South Korea,2020-02-01,12.0,1.0,1.429,,,,0.234,0.019,0.028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.89,51305184.0,527.967,43.4,13.914,8.622,35938.374,0.2,85.998,6.8,6.2,40.9,,12.27,83.03,0.916,,,,
KOR,Asia,South Korea,2020-02-02,15.0,3.0,1.714,,,,0.292,0.058,0.033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.89,51305184.0,527.967,43.4,13.914,8.622,35938.374,0.2,85.998,6.8,6.2,40.9,,12.27,83.03,0.916,139.2,0.44,1.51,2.713176119
KOR,Asia,South Korea,2020-02-03,15.0,0.0,1.571,,,,0.292,0.0,0.031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.15,51305184.0,527.967,43.4,13.914,8.622,35938.374,0.2,85.998,6.8,6.2,40.9,,12.27,83.03,0.916,,,,
KOR,Asia,South Korea,2020-02-04,16.0,1.0,1.714,,,,0.312,0.019,0.033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.48,51305184.0,527.967,43.4,13.914,8.622,35938.374,0.2,85.998,6.8,6.2,40.9,,12.27,83.03,0.916,,,,
KOR,Asia,South Korea,2020-02-05,19.0,3.0,2.143,,,,0.37,0.058,0.042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.48,51305184.0,527.967,43.4,13.914,8.622,35938.374,0.2,85.998,6.8,6.2,40.9,,12.27,83.03,0.916,,,,
KOR,Asia,South Korea,2020-02-06,23.0,4.0,2.714,,,,0.448,0.078,0.053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.48,51305184.0,527.967,43.4,13.914,8.622,35938.374,0.2,85.998,6.8,6.2,40.9,,12.27,83.03,0.916,,,,
KOR,Asia,South Korea,2020-02-07,24.0,1.0,1.857,,,,0.468,0.019,0.036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.48,51305184.0,527.967,43.4,13.914,8.622,35938.374,0.2,85.998,6.8,6.2,40.9,,12.27,83.03,0.916,,,,
KOR,Asia,South Korea,2020-02-08,24.0,0.0,1.714,,,,0.468,0.0,0.033,,,,,,,,,,,,,745.0,745.0,0.015,0.015,,,,,people tested,,,,,,,,,,,,,,31.48,51305184.0,527.967,43.4,13.914,8.622,35938.374,0.2,85.998,6.8,6.2,40.9,,12.27,83.03,0.916,,,,
KOR,Asia,South Korea,2020-02-09,25.0,1.0,1.429,,,,0.487,0.019,0.028,,,,,,,,,,,,,1246.0,501.0,0.024,0.01,,,,,people tested,,,,,,,,,,,,,,31.48,51305184.0,527.967,43.4,13.914,8.622,35938.374,0.2,85.998,6.8,6.2,40.9,,12.27,83.03,0.916,392.4,1.03,4.1,7.648349921
KOR,Asia,South Korea,2020-02-10,27.0,2.0,1.714,,,,0.526,0.039,0.033,,,,,,,,,,,,,1758.0,512.0,0.034,0.01,,,,,people tested,,,,,,,,,,,,,,31.48,51305184.0,527.967,43.4,13.914,8.622,35938.374,0.2,85.998,6.8,6.2,40.9,,12.27,83.03,0.916,,,,
KOR,Asia,South Korea,2020-02-11,28.0,1.0,1.714,,,,0.546,0.019,0.033,,,,,,,,,,,,,2973.0,1215.0,0.058,0.024,,,,,people tested,,,,,,,,,,,,,,31.48,51305184.0,527.967,43.4,13.914,8.622,35938.374,0.2,85.998,6.8,6.2,40.9,,12.27,83.03,0.916,,,,
KOR,Asia,South Korea,2020-02-12,28.0,0.0,1.286,,,,0.546,0.0,0.025,,,,,,,,,,,,,4272.0,1299.0,0.083,0.025,,,,,people tested,,,,,,,,,,,,,,31.48,51305184.0,527.967,43.4,13.914,8.622,35938.374,0.2,85.998,6.8,6.2,40.9,,12.27,83.03,0.916,,,,
KOR,Asia,South Korea,2020-02-13,28.0,0.0,0.714,,,,0.546,0.0,0.014,,,,,,,,,,,,,5159.0,887.0,0.101,0.017,,,,,people tested,,,,,,,,,,,,,,31.48,51305184.0,527.967,43.4,13.914,8.622,35938.374,0.2,85.998,6.8,6.2,40.9,,12.27,83.03,0.916,,,,
KOR,Asia,South Korea,2020-02-14,28.0,0.0,0.571,,,,0.546,0.0,0.011,,,,,,,,,,,,,5890.0,731.0,0.115,0.014,,,,,people tested,,,,,,,,,,,,,,31.48,51305184.0,527.967,43.4,13.914,8.622,35938.374,0.2,85.998,6.8,6.2,40.9,,12.27,83.03,0.916,,,,
KOR,Asia,South Korea,2020-02-15,28.0,0.0,0.571,,,,0.546,0.0,0.011,,,,,,,,,,,,,6382.0,492.0,0.124,0.01,805.0,0.016,0.0007,1409.8,people tested,,,,,,,,,,,,,,31.48,51305184.0,527.967,43.4,13.914,8.622,35938.374,0.2,85.998,6.8,6.2,40.9,,12.27,83.03,0.916,,,,
KOR,Asia,South Korea,2020-02-16,29.0,1.0,0.571,,,,0.565,0.019,0.011,,,,,,,,,,,,,6809.0,427.0,0.133,0.008,795.0,0.015,0.0007,1392.3,people tested,,,,,,,,,,,,,,31.48,51305184.0,527.967,43.4,13.914,8.622,35938.374,0.2,85.998,6.8,6.2,40.9,,12.27,83.03,0.916,374.2,0.84,-0.29,7.29360994
KOR,Asia,South Korea,2020-02-17,30.0,1.0,0.429,,,,0.585,0.019,0.008,,,,,,,,,,,,,7366.0,557.0,0.144,0.011,801.0,0.016,0.0005,1867.1,people tested,,,,,,,,,,,,,,31.48,51305184.0,527.967,43.4,13.914,8.622,35938.374,0.2,85.998,6.8,6.2,40.9,,12.27,83.03,0.916,,,,
KOR,Asia,South Korea,2020-02-18,31.0,1.0,0.429,,,,0.604,0.019,0.008,,,,,,,,,,,,,8420.0,1054.0,0.164,0.021,778.0,0.015,0.0006,1813.5,people tested,,,,,,,,,,,,,,31.48,51305184.0,527.967,43.4,13.914,8.622,35938.374,0.2,85.998,6.8,6.2,40.9,,12.27,83.03,0.916,,,,
KOR,Asia,South Korea,2020-02-19,31.0,0.0,0.429,,,,0.604,0.0,0.008,,,,,,,,,,,,,9821.0,1401.0,0.191,0.027,793.0,0.015,0.0005,1848.5,people tested,,,,,,,,,,,,,,31.48,51305184.0,527.967,43.4,13.914,8.622,35938.374,0.2,85.998,6.8,6.2,40.9,,12.27,83.03,0.916,,,,
KOR,Asia,South Korea,2020-02-20,104.0,73.0,10.857,1.0,1.0,,2.027,1.423,0.212,0.019,0.019,,,,,,,,,,,11850.0,2029.0,0.231,0.04,956.0,0.019,0.0114,88.1,people tested,,,,,,,,,,,,,,31.48,51305184.0,527.967,43.4,13.914,8.622,35938.374,0.2,85.998,6.8,6.2,40.9,,12.27,83.03,0.916,,,,
KOR,Asia,South Korea,2020-02-21,204.0,100.0,25.143,2.0,1.0,,3.976,1.949,0.49,0.039,0.019,,6.14,,,,,,,,,15048.0,3198.0,0.293,0.062,1308.0,0.025,0.0192,52.0,people tested,,,,,,,,,,,,,,45.37,51305184.0,527.967,43.4,13.914,8.622,35938.374,0.2,85.998,6.8,6.2,40.9,,12.27,83.03,0.916,,,,
KOR,Asia,South Korea,2020-02-22,433.0,229.0,57.857,2.0,0.0,,8.44,4.463,1.128,0.039,0.0,,5.85,,,,,,,,,20234.0,5186.0,0.394,0.101,1979.0,0.039,0.0292,34.2,people tested,,,,,,,,,,,,,,45.37,51305184.0,527.967,43.4,13.914,8.622,35938.374,0.2,85.998,6.8,6.2,40.9,,12.27,83.03,0.916,,,,
KOR,Asia,South Korea,2020-02-23,602.0,169.0,81.857,6.0,4.0,,11.734,3.294,1.595,0.117,0.078,,4.47,,,,,,,,,24827.0,4593.0,0.484,0.09,2574.0,0.05,0.0318,31.4,people tested,,,,,,,,,,,,,,50.0,51305184.0,527.967,43.4,13.914,8.622,35938.374,0.2,85.998,6.8,6.2,40.9,,12.27,83.03,0.916,119.8,0.24,-4.09,2.335046688
KOR,Asia,South Korea,2020-02-24,833.0,231.0,114.714,8.0,2.0,,16.236,4.502,2.236,0.156,0.039,,3.61,,,,,,,,,31404.0,6577.0,0.612,0.128,3434.0,0.067,0.0334,29.9,people tested,,,,,,,,,,,,,,55.56,51305184.0,527.967,43.4,13.914,8.622,35938.374,0.2,85.998,6.8,6.2,40.9,,12.27,83.03,0.916,,,,
KOR,Asia,South Korea,2020-02-25,977.0,144.0,135.143,10.0,2.0,1.429,19.043,2.807,2.634,0.195,0.039,0.028,2.94,,,,,,,,,38952.0,7548.0,0.759,0.147,4362.0,0.085,0.031,32.3,people tested,,,,,,,,,,,,,,55.56,51305184.0,527.967,43.4,13.914,8.622,35938.374,0.2,85.998,6.8,6.2,40.9,,12.27,83.03,0.916,,,,
KOR,Asia,South Korea,2020-02-26,1261.0,284.0,175.714,12.0,2.0,1.714,24.578,5.536,3.425,0.234,0.039,0.033,3.01,,,,,,,,,52201.0,13249.0,1.017,0.258,6054.0,0.118,0.029,34.5,people tested,,,,,,,,,,,,,,55.56,51305184.0,527.967,43.4,13.914,8.622,35938.374,0.2,85.998,6.8,6.2,40.9,,12.27,83.03,0.916,,,,
